epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
89,5866.07,0.93241,0.92539,1.9746,0.00559,0.8254,0.63319,0.74554,0.44059,1.43669,1.34754,2.61807,0.01287,0.0008384,0.0008384,0.0008384
90,5933.44,0.92732,0.89849,1.99812,0.0052,0.78429,0.71447,0.76297,0.47588,1.36529,1.24316,2.49046,0.00665,0.0008252,0.0008252,0.0008252
91,6000.53,0.89231,0.84886,1.96175,0.00543,0.73085,0.72926,0.761,0.47254,1.41266,1.33462,2.56497,0.01495,0.000812,0.000812,0.000812
92,6068,0.89403,0.85981,1.95199,0.00548,0.78825,0.68122,0.75655,0.44558,1.46959,1.27881,2.66731,0.01833,0.0007988,0.0007988,0.0007988
93,6135.61,0.9124,0.8755,1.95623,0.00639,0.72717,0.70998,0.73206,0.43033,1.46809,1.24746,2.67577,0.01866,0.0007856,0.0007856,0.0007856
94,6202.97,0.89916,0.8847,1.93444,0.00598,0.76761,0.69869,0.76961,0.46463,1.45039,1.24584,2.70251,0.0194,0.0007724,0.0007724,0.0007724
95,6270.13,0.91446,0.86777,1.96166,0.00667,0.77993,0.71191,0.7664,0.47224,1.42438,1.18229,2.65775,0.01911,0.0007592,0.0007592,0.0007592
96,6337.54,0.92123,0.89172,1.96224,0.00645,0.69872,0.72489,0.75971,0.46355,1.44144,1.16084,2.66145,0.01568,0.000746,0.000746,0.000746
97,6405.23,0.8968,0.87062,1.93413,0.00651,0.80888,0.70231,0.76808,0.47607,1.45889,1.2619,2.75787,0.01359,0.0007328,0.0007328,0.0007328
98,6472.46,0.91251,0.89112,1.93504,0.0056,0.79793,0.707,0.78184,0.4622,1.44672,1.22889,2.73791,0.01575,0.0007196,0.0007196,0.0007196
99,6539.53,0.87988,0.84005,1.91363,0.00519,0.83722,0.66812,0.7444,0.45662,1.45389,1.29347,2.69785,0.01957,0.0007064,0.0007064,0.0007064
100,6606.85,0.88442,0.85212,1.92036,0.00697,0.79605,0.67686,0.74599,0.4513,1.42878,1.23952,2.67466,0.02184,0.0006932,0.0006932,0.0006932
101,6674.4,0.88237,0.88102,1.90828,0.00537,0.7614,0.68122,0.7448,0.44632,1.45715,1.1799,2.73912,0.0112,0.00068,0.00068,0.00068
102,6742.06,0.87319,0.81691,1.89814,0.00529,0.79152,0.63,0.70817,0.43,1.44933,1.28545,2.74268,0.00962,0.0006668,0.0006668,0.0006668
103,6809.39,0.87298,0.80998,1.87342,0.00943,0.83386,0.69432,0.76646,0.48748,1.35973,1.20602,2.65437,0.02605,0.0006536,0.0006536,0.0006536
104,6876.64,0.86305,0.80803,1.88236,0.00756,0.80714,0.69449,0.76573,0.46696,1.43509,1.27926,2.70446,0.02728,0.0006404,0.0006404,0.0006404
105,6943.94,0.85517,0.81342,1.86915,0.00683,0.7837,0.70742,0.74002,0.43883,1.44221,1.27455,2.72142,0.02723,0.0006272,0.0006272,0.0006272
106,7010.86,0.85543,0.80534,1.87112,0.00742,0.82959,0.70152,0.7869,0.47036,1.42011,1.14611,2.66544,0.03032,0.000614,0.000614,0.000614
107,7078.22,0.85621,0.80344,1.88367,0.00633,0.79392,0.69869,0.76057,0.45521,1.44327,1.24321,2.72776,0.01943,0.0006008,0.0006008,0.0006008
108,7145.3,0.85879,0.78909,1.8846,0.00806,0.75466,0.72052,0.76092,0.45848,1.4447,1.27025,2.77526,0.02553,0.0005876,0.0005876,0.0005876
109,7212.2,0.83761,0.78196,1.83024,0.00692,0.80642,0.70946,0.77243,0.47405,1.41758,1.22753,2.76945,0.02041,0.0005744,0.0005744,0.0005744
110,7278.9,0.81856,0.77122,1.83243,0.00614,0.80567,0.72417,0.76496,0.46207,1.45124,1.23938,2.76175,0.0188,0.0005612,0.0005612,0.0005612
111,7346.06,0.83573,0.78419,1.83277,0.00742,0.77359,0.67142,0.73082,0.42785,1.50965,1.35382,2.81945,0.02662,0.000548,0.000548,0.000548
112,7412.52,0.84345,0.81292,1.83382,0.00668,0.8398,0.66384,0.77153,0.47105,1.42577,1.24652,2.76975,0.01964,0.0005348,0.0005348,0.0005348
113,7479.23,0.83705,0.81213,1.82337,0.00665,0.81822,0.72052,0.79513,0.50052,1.36946,1.29988,2.58557,0.02769,0.0005216,0.0005216,0.0005216
114,7545.7,0.82171,0.79749,1.81225,0.0073,0.83851,0.68023,0.75772,0.46095,1.44245,1.27718,2.66974,0.02205,0.0005084,0.0005084,0.0005084
115,7612.28,0.80458,0.77113,1.79959,0.00789,0.74751,0.74672,0.77792,0.46188,1.4423,1.20916,2.73729,0.02686,0.0004952,0.0004952,0.0004952
116,7679.32,0.80216,0.79158,1.78859,0.00617,0.81911,0.70306,0.77387,0.45123,1.52266,1.21876,2.8454,0.01534,0.000482,0.000482,0.000482
117,7745.89,0.80988,0.77799,1.80094,0.00619,0.82266,0.72052,0.78636,0.47714,1.44049,1.26756,2.76149,0.02264,0.0004688,0.0004688,0.0004688
118,7812.58,0.79965,0.75841,1.80114,0.00721,0.8122,0.66376,0.74005,0.43732,1.43242,1.34286,2.73724,0.02236,0.0004556,0.0004556,0.0004556
119,7879.13,0.80972,0.76035,1.80699,0.00712,0.77227,0.68996,0.75206,0.44561,1.45005,1.38927,2.79013,0.01977,0.0004424,0.0004424,0.0004424
120,7945.58,0.80604,0.78407,1.79166,0.006,0.74158,0.66376,0.73796,0.4508,1.45437,1.45049,2.7626,0.02025,0.0004292,0.0004292,0.0004292
121,8012.31,0.77844,0.71056,1.76824,0.00712,0.75847,0.69938,0.75243,0.45551,1.45718,1.33971,2.83002,0.02267,0.000416,0.000416,0.000416
122,8079.21,0.78918,0.72937,1.7911,0.00625,0.80244,0.72052,0.77907,0.46647,1.4702,1.32905,2.88676,0.02001,0.0004028,0.0004028,0.0004028
123,8145.91,0.7905,0.73744,1.77177,0.00678,0.7977,0.72489,0.77278,0.47234,1.46348,1.26325,2.82249,0.026,0.0003896,0.0003896,0.0003896
124,8212.85,0.80105,0.76018,1.78868,0.00597,0.81705,0.70742,0.77633,0.47889,1.44181,1.28892,2.77318,0.02822,0.0003764,0.0003764,0.0003764
125,8279.76,0.78088,0.7287,1.74794,0.00762,0.76338,0.72489,0.74601,0.45343,1.44457,1.35991,2.87736,0.02326,0.0003632,0.0003632,0.0003632
126,8346.23,0.77978,0.74003,1.75268,0.00696,0.80215,0.70306,0.76745,0.46675,1.44906,1.30176,2.77728,0.02478,0.00035,0.00035,0.00035
127,8412.7,0.77856,0.73106,1.75158,0.00555,0.80521,0.70306,0.76802,0.46129,1.46602,1.28286,2.76546,0.02025,0.0003368,0.0003368,0.0003368
128,8479.09,0.7696,0.72065,1.73692,0.00649,0.79208,0.71533,0.75649,0.45408,1.44386,1.30619,2.7591,0.017,0.0003236,0.0003236,0.0003236
129,8545.79,0.76789,0.70592,1.72485,0.00617,0.81999,0.68996,0.75501,0.46762,1.44673,1.33287,2.82283,0.02489,0.0003104,0.0003104,0.0003104
130,8612.67,0.76123,0.71931,1.70407,0.00627,0.81342,0.69869,0.75258,0.45345,1.44295,1.36651,2.8535,0.02363,0.0002972,0.0002972,0.0002972
131,8679.64,0.74085,0.70213,1.71166,0.00587,0.80879,0.69432,0.7461,0.45316,1.42977,1.31762,2.80353,0.02242,0.000284,0.000284,0.000284
132,8746.25,0.74611,0.68564,1.70727,0.00661,0.80799,0.69432,0.75252,0.46418,1.44107,1.32333,2.86312,0.02327,0.0002708,0.0002708,0.0002708
